127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001470
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002383
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002885
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000426
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000378
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000471
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001196
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000861
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000937
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001615
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000685
127.0.0.1, 2014-07-29 21:31:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000437
127.0.0.1, 2014-07-29 21:31:04, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000446
127.0.0.1, 2014-07-29 21:31:06, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000470
127.0.0.1, 2014-07-29 21:31:07, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.113885
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/default/site, HTTP/1.1, 303, 0.136880
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/default/index, HTTP/1.1, 200, 0.081075
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.001454
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.003186
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000794
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003062
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002700
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002149
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000466
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000846
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000347
127.0.0.1, 2014-07-29 21:31:12, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000687
127.0.0.1, 2014-07-29 21:31:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2014-07-29 21:31:16, POST, /admin/default/index, HTTP/1.1, 303, 0.039885
127.0.0.1, 2014-07-29 21:31:16, GET, /admin/default/site, HTTP/1.1, 200, 0.060260
127.0.0.1, 2014-07-29 21:31:16, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.001236
127.0.0.1, 2014-07-29 21:31:16, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.000626
